"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1432","requestabet","requestabet","","awards","jokic","wins","","michael","porter","","wins","improved","bones","hyland","wins","rookie","year","","","","","","","","","","","","","","",""
"1433","lead","","","candidates","video","","guys","think","strong","cases","make","season","","","","","","","","","","","","","","","","","","","",""
"1434","jaylen","brown","","","brown","","dpoy","","also","","improved","player","odds","","","","","aeeywdkbyf","","","","","","","","","","","","","",""
"1435","larry","legend","made","","debit","","","","champ","","","finals","","","","","","star","","","first","team","","pointer","contest","champ","retired","celtics","","","",""
"1436","magic","made","","debut","today","","larry","bird","","","champion","","","finals","","","","","","star","","","first","team","","assists","leader","","steals","leader","retired","lakers"
"1437","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1438","player","awards","","season","","luka","","dejounte","murray","kevin","porter","","","","drose","","","","","","","","","","","","","","","","",""
"1439","","kyrie","irving","never","","","scoring","title","defensive","title","even","voted","","team","","even","best","player","team","stop","clout","chasing","","","","","","","","","",""
"1440","townbrad","dirk","","time","scoring","","","position","","","made","","child","","talking","abou","","","","","","","","","","","","","","","",""
"1441","couple","","season","long","sacramento","kings","wins","de’aaron","","","kings","take","step","make","playoffs","","","turns","star","think","devin","booker","probably","","","","","","","","",""
"1442","","","","nothing","","mfer","even","prime","","russ","","couldn’t","","","done","","overrated","players","","history","","care","disagree","literally","","easiest","","ever","","","",""
"1443","know","every","juve","game","ends","like","onwards","also","know","leicester","wins","prem","know","every","","","dpoy","fmvp","title","winner","runners","know","button","wins","title","nowhere","rosberg","","","billionaire","lmao",""
"1444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1445","kyrie","irving","olympic","champion","world","champion","fiba","","star","star","","","champion","since","nothing","waste","talent","","","","","","","","","","","","","","",""
"1446","magic","","","finals","","","better","lebron","","","","","","","","","","","","","","","","","","","","","","","",""
"1447","","yeah","think","just","summaries","","","person","graded","based","knowledge","research","simply","given","list","names","clearly","mikan","","","","three","times","early","","years","","","","","",""
"1448","kyrie","irving","accolades","","star","","champion","star","game","","club","rookie","year","salute","kyrieirving","great","career","","","","","","","","","","","","","","",""
"1449","","week","away","","season","tipping","","","take","look","","odds","season","earlyedge","","","msrhzmsxtg","","","","","","","","","","","","","","",""
"1450","","wild","signed","","final","four","","days","","years","later","signing","second","","contract","","","","","","","","","","","","","","","","",""
"1451","josheberley","ranked","","apart","","","","anything","four","rings","finals","","game","winning","shot","finals","part","winningest","trio","","history","","","","","","","","","","",""
"1452","dirk","incredible","scorer","obviously","","points","nash","gave","defense","","champion","finals","","","","","","","","","","","","","","","","","","","",""
"1453","kyrie","difference","first","round","exist","","finals","","people","lmaooo","","","","","","","","","","","","","","","","","","","","","",""
"1454","league","","","time","points","time","olympic","gold","medalist","","greatest","players","yeah","","","depsite","dirtbag","","","","","","","","","","","","","","",""
"1455","even","made","","team","","","","discussion","lmao","just","accolades","side","hasn‘t","even","marketable","","","","","","","","","","","","","","","","",""
"1456","favorite","books","","atomic","habits","start","millionaire","next","door","never","split","difference","giannis","improbable","rise","","","","","","","","","","","","","","","","",""
"1457","","","","cherry","picked","entirety","different","playoff","runs","using","","stats","guys","","times","","caliber","player","next","durant","also","really","good","","","","","","","","",""
"1458","","","","afterwards","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1459","","","sleepers","going","season","","","","nohatsports","","","","","","","","","","","","","","","","","","","","","","",""
"1460","","player","book","bill","russell","born","different","","stacked","celtics","team","talking","","","champion","","line","","","","defense","thing","","team","every","year","","","","","",""
"1461","just","picked","","barpod","subcriber","whose","name","","letter","former","","","","","","","","","","","","","","","","","","","","","",""
"1462","primmzx","","times","year","career","great","shooter","time","","overmatched","squad","weak","","finals","mvps","game","","finals","didn’t","deserve","first","finals","","","","","","","","","",""
"1463","","","dqsxqioqgo","","check","article","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1464","","","betting","","","","","","nbatwitter","","","","","","","","","","","","","","","","","","","","","","",""
"1465","","mandem","","drop","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1466","lamb_mvp","yeah","that’s","trying","","","shut","think","","","","","","","","","","","","","","","","","","","","","","","",""
"1467","lamb_mvp","didn’t","kyrie","type","dispute","","bubble","","","","","","","","","","","","","","","","","","","","","","","","",""
"1468","","predictions","","kevin","durant","dpoty","antony","davis","roty","jalen","green","","","year","derrick","rose","improved","player","","simmons","","","","","","","","","","","",""
"1469","former","player","","seven","","history","score","points","","","finals","","time","star","dirk","nowitzki","believe","time","everyone","appreciates","game","mffl","","","","","","","","","",""
"1470","poll","","presented","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1471","","season","preview","","","","","","roty","make","miss","playoffs","takes","title","","talks","","sports","","","","","aaoharry","","","","","","","","",""
"1472","joesheen_","","","","","","champ","lakers","","nets","nets","","lebron","james","finals","","kevin","durant","","davion","mitchell","wiggins","stats","","","","","","","","",""
"1473","","","","","","","champ","warriors","","bulls","warriors","","curry","finals","","curry","","franz","wagner","","toppin","","","","","","","","","","",""
"1474","","facts","","tell","every","","champ","finals","","since","","","","","","","","","","","","","","","","","","","","","",""
"1475","","","champ","lakers","","heat","lakers","","embiid","finals","","lebron","","jalen","green","andrew","wiggins","","","","","","","","","","","","","","",""
"1476","","talk","games","season","almost","","shit","","twitter","","","","","","","","","","","","","","","","","","","","","","",""
"1477","maybe","","games","life","dozens","","baseball","hockey","games","seeing","play","person","electric","thing","ever","witnessed","","ravensflock","","","","","","","","","","","","","",""
"1478","","","","really","just","something","head","already","like","randomly","asking","someone","","","","allstar","game","whatever","reason","remember","iverson","","","","","","","","","","",""
"1479","vegas","odds","","simmons","winning","","asking","friend","","","","","","","","","","","","","","","","","","","","","","","",""
"1480","charania","","finals","bill","russell","","lebron","james","","","","","","","","","","","","","","","","","","","","","","","",""
"1481","lebron","james","first","player","","history","","finals","","three","different","","","","","","","","","","","","","","","","","","","","",""
"1482","lebron","james","accused","trafficking","involved","","former","star","wnba","cappie","pondexter","video","testimony","","","zswhdqlleu","puge","vtnh","neca","gvsi","","","","","","","","","","","",""
"1483","imsuzyquzy","oustthune","cbknews","lebron","james","","brady","michael","jordan","sold","souls","many","part","","world","agenda","everyone","focused","politicians","","part","missing","athletes","influence","society","mind","control","","","zswhdqlleu","",""
"1484","nigga","","","trip","","finals","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1485","","awards","predictions","","nikola","jokic","jayson","tatum","dpoy","giannis","","","evan","mobley","cade","cunningham","","robert","williams","horford","starts","","steve","nash","","andy","elisburg","","","","",""
"1486","clapped_dre","remember","","live","","always","","","rookie","season","","","","","","","","","","","","","","","","","","","","","",""
"1487","","sixers","thing","happen","","support","ludicrous","delusion","iverson","matt","geiger","trade","kicker","away","traded","pistons","","season","dragging","sixers","","finals","","basically","written","lore","","","","","",""
"1488","alright","","prediction","time","","kevin","durant","roty","jalen","green","","derrick","rose","","","anunoby","dpoy","jimmy","butler","coty","quin","snyder","","","","","","","","","",""
"1489","","canduxinho","kobebettr","","","","rose","","kyrie","random","players","draft","picks","perennial","stars","multiple","time","","players","","former","","","","","champion","random","players","","","",""
"1490","jojofashow","","nba_newyork","think","biggest","problem","knicks","fans","didn’t","improve","pretty","","average","team","especially","","randle","improved","","stagnation","stood","rose","","still","skills","without","hops","","","","",""
"1491","giannis","lebron","curry","jokic","doncic","crowned","","","","news","","","","","","","","","","","","","","","","","","","","","",""
"1492","giannis","lebron","curry","jokic","doncic","crowned","","","","news","","","","odu_news","","","","","","","","","","","","","","","","","",""
"1493","","","","kidding","trae","worse","shooter","lebron","dfkm","trae","never","","","candidate","","","","","","","","","","","","","","","","","",""
"1494","","hopes","jordan","poole","kills","","thomas","starts","tyrese","maxes","takes","leap","lakers","actually","mesh","dame","wins","","","","","","","","","","","","","","",""
"1495","years","","just","","","","assist","leader","triple","double","history","making","playoffs","every","single","year","nothing","that’s","case","","trash","logic","especially","clippers","","","","","","","",""
"1496","sports","individual","award","agenda","based","","","ballon","","","","","","","","","","","","","","","","","","","","","","","",""
"1497","","","dame","wins","","super","love","spidaaaa","thoooo","","","","","","","","","","","","","","","","","","","","","","",""
"1498","days","","locked","solid","futures","bets","already","","last","season","huge","collect","jokic","","","join","","contact","","","gmail.com","","","","nbatwitter","","","","","","",""
"1499","","joel","embiid","stays","healthy","gonna","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","","season","predictions","champs","brooklyn","nets","","giannis","dpoy","","","","patty","mills","","jordan","poole","roty","jalen","suggs","coty","erik","spoelstra","","nbatwitter","","","","","","",""
"1501","ciipset","hoodiepg","","kawhi","year","career","","finals","mvps","","averaging","points","appearances","star","games","","first","team","total","","teams","","","","","","","","","","",""
"1502","frgalati","","acquiring","jones","package","like","reverse","","boston","franchise","swindling","johnson","robey","watt","definitely","team","","last","","weeks","much","like","another","letter","last","named","","","suns","deandre","deandre","question"
"1503","","season","nearly","predictions","","know","think","champs","brooklyn","nets","","steph","curry","dpoy","anthony","davis","","tyler","herro","","","simmons","roty","jalen","suggs","coty","mike","budenholzer","","","",""
"1504","lebron","came","league","camera","phones","just","dropped","said","done","","","","","gonna","","lebron","lebron","","finals","","","","","","","","","","","","",""
"1505","start","commenting","embiid","","every","comment","section","","wait","till","season","starts","sixers","","","","","","","","","","","","","","","","","","",""
"1506","","giannis","peak","highest","","","history","","player","ever","along","","hakeem","","dpoy","","year","","","","","","","","","","","","","","",""
"1507","pff_fantasy","","","","","","bigten","","getup","","continue","doubt","","","","skills","keep","keeps","braking","records","","winning","wnba","","","","","","ravensflock","ravens","colts",""
"1508","","compliment","steph","curry","says","lebron","james","","standard","stars","extending","prime","","getting","ready","december","","","time","playing","time","past","year","","mentioned","","prior","ankle","sprain","","",""
"1509","","","","candidates","season","","russ","","simmons","bron","jokic","westbrook","","","","","","","","","","","","","","","","","","","",""
"1510","predictions","","jaren","jackson","","roty","scottie","barnes","","luka","doncic","dpoy","anthony","davis","","lakers","","warriors","","bucks","","bulls","finals","lakers","","bucks","champs","lakers","finals","","lebron","james"
"1511","","nobody","cares","","except","media.such","","award","","","","","","","","","","","","","","","","","","","","","","","",""
"1512","hoopmixonly","uncledrewgb","","introducing","","","champion","","","","","","star","","","team","selection","","","scoring","champion","standing","","davidson","college","wearing","number","golden","state","warriors","point",""
"1513","","cccuuurryy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1514","lamar","shut","","chant","","love","","players","miss","free","throws","time","happens","","","","","","","","","","","","","","","","","","",""
"1515","","","always","storyline","","legend","","team","wins","","brady","lebron","","getting","hump","giannis","","lamar","ravens","","super","bowl","well","besides","falcons","","","","","","",""
"1516","davion","mitchell","","","year","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1517","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1518","according","","twitter","fans","since","preseason","apparently","important","heat","chip","favorites","","tyler","herro","gonna","","","","","","","","","","","","","","","","",""
"1519","","","rodac__","","_talkin_nba","curry","","even","franchise","shit","","rings","","mvps","","much","sleep","","lose","every","night","knowing","iggy","","finals","","steph","zero","","","",""
"1520","","favorite","going","","season","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1521","","gobert","","team","without","jazz","arent","playoff","team","impactful","","player","covers","jazz","poor","wing","defenders","","","","","","","","","","","","","","",""
"1522","first","ever","unanimous","","stephen","curry","pulled","hardest","","ever","season","first","ever","unanimous","","","history","receiving","first","place","votes","","","","","","","","","","",""
"1523","stephen","curry","accolades","steph","","best","season","ever","terms","accolades","winning","","award","leading","team","best","record","","history","also","leading","league","pointers","made","steals","","game","points","","game","",""
"1524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1525","crazy","think","giannis","average","","","finals","","weeks","knee","","","","","","","","","","","","","","","","","","","","","",""
"1526","nawlooz","biased","","award","predictions","","kevin","durant","","stephen","curry","roty","cade","cunningham","","scottie","barnes","","clarkson","","andre","iguodala","","","anunoby","","malik","monk","dpoy","rudy","gobert",""
"1527","giannis","","coty","monty","williams","","erik","spoelstra","","","","","","","","","","","","","","","","","","","","","","","",""
"1528","towns","great","","point","towns","","","","team","","finals","","","odoawzlzbd","","","","","","","","","","","","","","","","","",""
"1529","kingron_b","warriors","","","just","addition","first","unanimous","","","","","","","","","","","","","","","","","","","","","","","",""
"1530","","wadesburner","","_talkin_nba","wade","things","harden","ring","finals","","","","","","","","","","","","","","","","","","","","","","",""
"1531","","simmons","jojo","legit","","year","","injured","","","","","","","","","","","","","","","","","","","","","","","",""
"1532","","season","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1533","attention","","","devin","booker","coming","","warned","","","","","","","","","","","","","","","","","","","","","","","",""
"1534","embiid","ready","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1535","","raptors","","christ","","calling","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1537","","","","","talk","","simmons","kyrie","drama","also","debate","whether","","","","year","linkinbio","","nbatwitter","hawks","","","","","","","","","","","",""
"1538","","","","","","best","defender","","michael","jordan","abilty","","range","average","","best","","","getting","looks","stacks","bread","","","","","","","","","",""
"1539","","","","player","finished","","","voting","year","first","team","","team","","refs","final","","","","","","","","","","","","","","","",""
"1540","","","smoothieuzi","onlytaron","","","interesting","guess","","played","","every","year","career","pathetic","keep","making","criteria","flat","","","hyped","jamal","crawford","without","mvps","team","","","krzfzvyett","",""
"1541","","going","finals","","","","book","dano","","","","","","","","","","","","","","","","","","","","","","","",""
"1542","seen","enough","raptors","winning","every","","award","year","","","dpoy","fmvp","","","","comes","bench","scottie","","","","","","","","","","","","","",""
"1543","marttyy_mar","sergrgarcia","","lead","league","steals","times","","","","scoring","champion","","","things","kyrie","","probably","","","","","","","","","","","","","",""
"1544","","smoothieuzi","onlytaron","","","","telling","still","doesn’t","finals","","","","","","","","","","","","","","","","","","","","","",""
"1545","","smoothieuzi","onlytaron","","","curry","still","doesn’t","finals","","","","","fxgelizwtb","","","","","","","","","","","","","","","","","",""
"1546","cavs","breaker","clevelrnd","celtics","basketball","","sport","boston","kyrieirving","sportstar","","","","sticker","stickers","","","graffiti","streetart","","graffitiart","nbatwitter","","","stickers","","","","","","",""
"1547","warriors","","","","attempt","steph's","unanimous","","season","houston","","","attempts","","","","","","","","","","","","","","","","","","",""
"1548","aaaaaaand","","back","regularly","scheduled","programming","nodunksinc","","season","preview","","","picks","","first","time","stars","","","","","","","","","","","","","","",""
"1549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1550","today","marked","year","","podcasting","wild","stuff","appreciate","","nodunksinc","","season","preview","","","picks","","first","time","stars","","","","","","","","","","","",""
"1551","","","","iestazistx","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1552","","alternate","steve","nash","reality","exact","dream","life","honestly","","imagine","wanting","coach","kyrie","irving","james","harden","instead","guess","that’s","","back","back","","","","","","","","",""
"1553","lebron","gave","want","damn","respect","finals","","speech","","year","","today","","finals","","gawd","know","","players","tired","","","","","","","","","","","",""
"1554","bensimmons","gonna","march","","mummers","","star","weekend","","shooting","contest","","","finals","","philly","embraces","","","","","","","","","","","","","","",""
"1555","former","","","","","ivjldgnbbc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556","nbareactz","acted","though","","deal","","sciring","title","","teams","","years","averages","accolades","hall","fame","material","want","","career","right","","wasnt","worthy","","","","","","","",""
"1557","superfan_k","exactly","scoring","title","","multiple","","team","selections","rookie","year","took","shit","","team","finals","already","seems","like","brainer","","","","","","","","","","","",""
"1558","ottopoter","","","personally","","think","","convos","soon","considering","","players","like","giannis","luka","jokic","","","","","team","","possibly","make","","team","","spot","","","",""
"1559","regular","season","","odds","luka","doncic","kevin","durrant","giannis","joel","embiid","steph","curry","","","","","","","","","","","","","","","","","","",""
"1560","","","take","dame","lillard","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561","looking","value","","","","steve","shares","thoughts","best","bets","","","","","","","","","","","","","","","","","","","","","",""
"1562","","chevytrucks","probably","much","respect","last","year's","runaway","","","","","","","","","","","","","","","","","","","","","","","",""
"1563","","","video","dropping","soon","luka","embiid","greekfreak","nbatwitter","","","","","","","","","","","","","","","","","","","","","","",""
"1564","","recent","sports","history","","angeles","lakers","","","finals","bubble","team's","","title","lebron","james","named","finals","","fourth","time","lakeshow","","","","","","","","","",""
"1565","former","","know","come","bench","former","scorin","champ","know","come","bench","formate","","player","come","bench","","","","","","","","","","","","","","","",""
"1566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1567","leagues","trouble","wallahi","","","incoming","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1568","","podcast","","","vaccination","drama","nets","really","need","kyrie","also","","","listen","","","yjkpqovhwk","","","","","","","","","","","","","","",""
"1569","narrator","voice","whole","league","passed","trading","bensimmons","knew","prove","wrong","took","ball","hands","became","","","help","","reach","ultimate","goal","","","","","","","","","","",""
"1570","publicly","demand","respect","","legitimate","","","superteams","pissed","moaned","winning","","","said","weren’t","worried","sorry","","hard","respect","someone","like","","","","","","","","","",""
"1571","prolific","lethal","shooter","","ever","seen","player","ever","voted","unanimous","","chef","returns","season","number","absolutely","injured","ravaged","warriors","team","","steph","take","even","greater","load","last","year","leading","historic","","scoring"
"1572","titl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1573","almost","","","excuse","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1574","","giannis","","champion","","finals","","","valuable","player","","defensive","player","year","","star","","star","game","","","improved","player","","selection","","first","team","defensive","selection","","defensive"
"1575","first","team","","time","bucks","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1576","","","star","","team","first","team","","defensive","team","first","team","defense","vale","incluir","","","roubado","","rookie","year","","rookie","first","team","","","","","","",""
"1577","check","michael","jordan","upper","deck","","","exclusives","chicago","bulls","","","","","ebay","jordan","","","bulls","chicago","","","","","","","","","","","",""
"1578","joloading_","unanimous","","arguably","already","greatest","shooter","","history","","","","","","","","","","","","","","","","","","","","","","",""
"1579","yall","","like","giannis","","","","finals","","averaged","","dpoy","year","second","","","","","star","","","","arguably","even","","prime","","","","","",""
"1580","khris","middelton","","","","award","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1581","sethwalder","bburkeespn","sure","understand","personal","philosophy","","awards","always","context","based","least","","wrong","","team","level","success","considered","otherwise","","cares","well","","","","","","","","",""
"1582","locked","","futures","weekend","cade","cunningham","roty","lakers","west","champions","luka","doncic","","probably","take","look","overall","champion","sooner","later","just","hate","nets","situation","right","","rather","give","another","week","saying","kyrie"
"1583","changes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1584","","nba_ruim","giannis","","fmvp","","","dpoy","","","","","","","","","","","","","","","","","","","","","","","",""
"1585","","wasn’t","","","wearing","number","definitely","retired","melos","jersey","line","","","made","star","teams","","nuggets","furthest","ever","","wins","away","finals","","time","leading","scorer","well","","",""
"1586","check","nikola","jokic","","denver","nuggets","","holographic","engraved","matted","frame","","","ebay","","","","","","","","","","","","","","","","","",""
"1587","joel","embiid","time","regular","season","finals","","sixers","back","back","","champs","","simmonds","shooting","field","attempts","game","reigning","defensive","player","year","forgiven","last","season","","still","trash","","","",""
"1588","date","sports","history","october","","","finals","","lakers","beat","miami","heat","game","","record","equalling","","title","","lebron","james","first","","award","different","teams","sports","","lebron","lakeshow","lakers",""
"1589","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1590","","","","like","westbrook","sickening","plays","game","basketball","high","level","times","","","","","","season","games","","carry","","","","","","","","","","",""
"1591","","","finals","","","champion","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1592","","giannis","dpoy","giannis","","green","","","","clarkson","","","","","","","team","doncic","curry","","giannis","jokic","","","team","harden","lillard","tatum","","embiid","",""
"1593","team","booker","butler","lebron","zion","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1594","trayberlain","lmfaaoooo","nigga","","","","","","traded","players","competed","every","year","except","past","season","nets","","shit","middle","school","graduated","high","school","made","","worst","trades","","history","",""
"1595","","luka","wins","","","rose","still","youngest","ever","","","","","","","","","","","","","","","","","","","","","","",""
"1596","okctrav","","also","utah","finished","first","","nobody","","mitchell","convo","","","","","","","","","","","","","","","","","","","","",""
"1597","","played","game","basketball","right","","also","changed","","basketball","played","today","","","champion","league","","still","playing","high","level","today","also","","greatest","shooters","time","future","","basketball","",""
"1598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1599","hfromtx","","","","","season","lost","first","round","near","fault","","averaged","playoff","","team","worst","plus","minus","without","russ","","","","","","","","","","",""
"1600","awards","","format","","","pogacar","","","colbrelli","","","team","","pogacar","colbrelli","roglic","carapaz","bernal","alaphilippe","mvdp","rookie","","","pidcock","teammate","","","sénéchal","performance","","pogacar","stage"
"1601","","race","year","","flanders","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1602","onthisday","lebron","james","","","","","leads","lakers","","","ring","lakeshow","nbatwitter","","","gcbdlwvlwe","","","","","","","","","","","","","","",""
"1603","","favorite","toughest","team","predict","makes","","star","game","time","start","","preview","series","tackling","questions","upcoming","season","","","","","","","","","","","","","",""
"1604","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1605","luguentz","dort","year","span","","","","","","","finals","","","season","","scoring","titles","","","","defense","dpoy","","","","","","","","","",""
"1606","","steals","leader","","","star","","star","","points","assists","rebounds","point","games","point","games","point","games","","playoff","","leader","","","","","","","","","",""
"1607","","futures","","giannis","","","","","","miles","bridges","","","","","jordan","poole","","","","","","","","","","","","","","",""
"1608","logic_l","","josheberley","similar","iverson","terms","style","play","iverson","","","","team","finals","mention","transformed","","","","level","","","","","","","","","","","",""
"1609","year","","today","lakers","beat","heat","","","","","prolonged","","season","lebron","became","first","","finals","","three","different","teams","wonder","lakers","look","season","","today","","","",""
"1610","","award","predictions","final","","steph","curry","dpoy","","giannis","roty","james","bouknight","","jordan","poole","","derrick","rose","coty","nate","mcmillan","","","","","","","","","",""
"1611","macfeetee","","","like","","","believe","deadbeat","dads","exist","half","","","","early","","deadbeat","dads","mama","real","","","","","","","","","","","",""
"1612","forgive","","media","channels","giving","giannis","megastar","campaign","time","","finals","","dpoy","still","improving","focal","point","league","","","","","","","","","","","","","",""
"1613","official","","","","durant","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1614","latest","talk","jazz","preseason","give","predictions","","","rookie","year","","","","takenote","","","","","","","","","","","","","","","","","",""
"1615","jazz","","title","donovan","mitchell","talked","dark","horse","","","","","","","","","","","","","","","","","","","","","","","",""
"1616","espnnba","kingjames","","","ahahaha","know","good","team","","","sure","","","player","greatest","player","","least","figure","things","","worry","also","","health","problems","","depth","league","manage","players",""
"1617","","season","predictions","champs","nets","","champs","nuggets","","champs","nets","","luka","","michael","porter","","","scottie","barnes","dpoy","","sleeper","team","bulls","","team","jazz","best","record","bucks","worst"
"1618","record","spurs","rockets","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1619","history","","","finals","","finals","","lakers","beat","miami","heat","game","","record","equalling","","title","","lebron","james","first","","award","different","teams","","","","","","",""
"1620","beakerlives","","","dame","draw","allstars","free","agency","terrible","front","office","","make","good","trades","philly","already","","candidate","","","pair","dame","portland","doesn’t","even","","second","team","player","",""
"1621","embarrassed","proved","never","watched","single","second","","","even","name","best","shooter","","trash","casual","knows","nothing","","history","curry","still","overrated","never","","","tougher","","","","thzkgqkvdw","",""
"1622","predicting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1623","","lakers","finals","","","","ecmgbodjqk","","","","","","","","","","","","","","","","","","","","","","","","",""
"1624","derrick","rose","chicago","bulls","jogos","","","","","","","","","","","time","ideal","","","","mais","jovem","","historia","","","","","","","",""
"1625","dsohoop","","derozan","","shot","","defence","league","","think","","great","teams","east","","finish","order","","","","","","","","","","","","","","",""
"1626","year","","","","finals","","kingjames","lakeshow","","","","","","","","","","","","","","","","","","","","","","","",""
"1627","next","episode","sports","segment","","discussing","","predictions","wnba","finals","","wnba","players","","","players","","","","","","","","","","","","","","","",""
"1628","","strawpoll","market","handle","spoke","likely","voters","asked","three","players","expect","","","year’s","","talked","bookmakers","money","","","","","","","","","","","","","",""
"1629","","year","","lebron","james","","","","","","","","finals","","","ring","","","","","","","","","","","","","","","",""
"1630","october","","finals","","lakers","beat","miami","heat","game","","record","equalling","","title","","lebron","james","first","","award","different","teams","","history","onthisdate","events","","","","","",""
"1631","mjbird_o","","start","head","head","cares","","kobe","","award","joke","left","titles","simple","","lebron","amazing","kobe","","star","game","","","lebrons","eyes","knows","know","kobe","dude","","",""
"1632","","magic","retired","prematurely","time","","time","assist","leader","also","","","finals","","rookie","","","seasons","going","finals","times","laker","jabbar","kobe","still","cracks","","","","","",""
"1633","","","many","reasons","","much","shorter","career","","time","assist","leader","just","seasons","finals","","rookie","lebron","league","almost","decades","still","trails","magic","rings","","","","","","",""
"1634","","predictions","champions","nets","western","conference","champion","golden","state","","steph","fmvp","","roty","jalen","green","dpoy","giannis","","lonzo","","","","","","","","","","","",""
"1635","","","","","jokic","","","baddest","","planet","tyson_fury","king","podcasting","wrap","minds","around","peak","male","performance","","","","","","","","","","","","",""
"1636","kingjames","finals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1637","think","good","great","separated","willingness","sacrifice","kareem","abdul","jabbar","","hall","fame","points","scored","","career","","","champion","","","","","","","","","","","","",""
"1638","","duncan","better","kobe","bryant","champion","","finals","","kobe","","","kobe","star","defence","","time","blocks","","time","rebounds","better","kobe","bryant","time","deal","","","","","",""
"1639","nizcomix","ayoslimws","","straight","dpoys","carrying","franchise","","finals","past","great","lebron","james","","season","even","winning","game","lakers","","","","","","","","","","","","",""
"1640","gotta","love","concept","post","season","rewards","understand","football","implemented","","","finals","","regular","season","","separate","awards","think","amazing","","","","","","","","","","","",""
"1641","alljuvecast","","nedved","","henry","debate","crowd","","better","serie","gets","henry","better","numbers","nedved","scudetto","","made","","final","think","henry","","","anyway","even","","usually","best","player","team","wins"
"1642","league","gets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1643","wrote","markus","howard","player","preview","series","howard","clearly","shooting","talent","nuggets","guard","rotation","packed","full","best","opportunity","shine","","grand","rapids","gold","","willing","","","league","","","","",""
"1644","james","harden","","clippers","slept","debating","","disruptors","","","","","","","","","","","","","","","","","","","","","","","",""
"1645","ohtani","clear","unanimous","","","also","award","","","impact","felt","years","similar","steph","curry","changed","","forever","","shot","","every","athletic","","want","pitch","though","elite","","","",""
"1646","literal","","guys","","averaged","efficient","","multiple","seasons","shooting","field","first","","games","months","legit","trying","dawg","cmon","","","","","","","","","","","","",""
"1647","luka","doncic","winning","","","award","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1648","mazin_so","statmuse","","said","","make","shit","take","away","triple","double","","season","still","","best","","history","iykyk","","","","","","","","","","","","",""
"1649","clipppyy","luka","doncic","winning","","","award","","","","","","","","","","","","","","","","","","","","","","","","",""
"1650","","lakers","noted","","season","important","aspect","","didn’t","kuzma","","summer","league","","look","turned","","","","","","","","","","","","","","","",""
"1651","jcrossover","crazy","","","talks","","league","","starting","","","","","","","","","","","","","","","","","","","","","","",""
"1652","","miss","","","finals","","awards","","","","","","","","","","","","","","","","","","","","","","","","",""
"1653","","","dick","groat","google","league","","batting","champ","","world","series","champ","","star","college","basketball","player","year","american","retired","duke","college","basketball","baseball","","","first","round","draft","pick","year"
"1654","color","","panther","basketball","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
